line,method,path,function_name,domain,risk,uses_subprocess,uses_systemctl,uses_storage,uses_safety,uses_mount,uses_dcc_aggregation,uses_file_scan,recommended_action
4437,GET,/api/dev-dashboard/project-overview,dev_dashboard_project_overview,dev_dashboard,high,no,no,no,no,no,yes,no,keep_until_core_refactor
4447,POST,/api/dev-dashboard/actions/restart-backend,dev_dashboard_action_restart_backend,dev_dashboard,high,no,no,no,no,no,yes,no,unsafe
4454,POST,/api/dev-dashboard/actions/start-backup,dev_dashboard_action_start_backup,backup,critical,no,no,no,no,no,yes,no,unsafe
4461,GET,/api/dev-dashboard/prompt-findings,dev_dashboard_prompt_findings,dev_dashboard,high,yes,no,no,no,no,yes,no,keep_until_core_refactor
4482,GET,/api/dev-dashboard/cursor-meta-prompt,dev_dashboard_cursor_meta_prompt,dev_dashboard,high,yes,no,no,no,no,yes,no,keep_until_core_refactor
4504,POST,/api/ai/prompt/generate,ai_prompt_generate_stub,frontend_support,high,yes,no,no,no,no,yes,no,unsafe
4537,GET,/api/system/service-conflicts,get_service_conflicts,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
4564,POST,/api/self-update/install,self_update_install,unknown,high,yes,no,no,no,no,no,no,unsafe
4631,GET,/api/update-center/status,update_center_status,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
4667,POST,/api/update-center/check-compatibility,update_center_check_compatibility,runtime,high,yes,no,no,no,no,no,no,unsafe
4684,GET,/api/update-center/release-readiness,update_center_release_readiness,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
4698,POST,/api/update-center/build-deb,update_center_build_deb,runtime,high,yes,no,no,no,no,no,no,unsafe
4761,GET,/api/update-center/history,update_center_history,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
4809,GET,/api/apps/{app_id}/status,get_app_status,frontend_support,high,yes,no,no,no,no,no,no,keep_until_facade
4825,POST,/api/apps/{app_id}/install,install_app,frontend_support,high,yes,no,no,no,no,no,no,unsafe
6445,GET,/api/status,get_status,health,high,yes,no,no,no,no,no,no,keep_until_facade
6459,GET,/api/system-info,get_system_info,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
6701,GET,/api/system/asus-rog/fan/profiles,get_asus_fan_profiles_api,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
6711,GET,/api/system/asus-rog/fan/status,get_asus_fan_status_api,runtime,high,yes,no,no,no,no,no,no,keep_until_facade
