line,method,path,function_name,domain,risk,uses_storage,uses_safety,uses_mount,uses_subprocess,uses_runtime_write,candidate
5158,GET,/api/apps/{app_id}/status,get_app_status,unknown,low,no,no,no,no,no,maybe
5174,POST,/api/apps/{app_id}/install,install_app,unknown,high,no,no,no,no,no,no
5232,GET,/api/debug/routes,debug_routes,unknown,medium,no,no,no,no,no,maybe
6805,GET,/health,health_check,health,low,no,no,no,no,no,yes_e1
6812,GET,/api/status,get_status,unknown,low,no,no,no,no,no,maybe
6826,GET,/api/system-info,get_system_info,runtime,medium,no,no,no,no,no,maybe
7068,GET,/api/system/asus-rog/fan/profiles,get_asus_fan_profiles_api,runtime,medium,no,no,no,no,no,maybe
7078,GET,/api/system/asus-rog/fan/status,get_asus_fan_status_api,runtime,low,no,no,no,no,no,maybe
7088,POST,/api/system/asus-rog/fan/set-profile,set_asus_fan_profile_api,runtime,medium,no,no,no,no,no,no
7130,GET,/api/system/asus-rog/detection,get_asus_rog_detection,runtime,medium,no,no,no,no,no,maybe
7145,GET,/api/dashboard/services-status,dashboard_services_status,unknown,low,no,no,no,no,no,maybe
7182,GET,/api/system/resources,get_system_resources,runtime,medium,no,no,no,no,no,maybe
7246,GET,/api/users,list_users,unknown,medium,no,no,no,no,no,maybe
7283,GET,/api/user-profile,get_user_profile,unknown,medium,no,no,no,no,no,maybe
